업소명,카테고리,메뉴명,가격,설명,대표메뉴,이미지URL
메가MGC커피 배곧한라비발디점,티,(ICE)캐모마일,3500,특유의 풀내음을 통해 마음을 진정 시켜주는 마일드한 허브차,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/4/6iZcXaap6Bb5XmF1c67fow_s1bGjtA-17rTXjO7x0dxRMy_Mr3mL3KPzw7E5sUcGZttO6o0sgfhJGur8uq4pTezMN5j68QhKG6TQCPoVQlY=.jpg
메가MGC커피 배곧한라비발디점,티,(HOT)페퍼민트,3500,입 안 가득 깔끔한 청량감으로 기분까지 상쾌한 허브차,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/14/3Vj9IJvzr8jKZ0QHHyOt7XNi7D_xa3RoO6UKXgNqvgCjqMPfjvgJNZj6qwR7L8-R3J-G2lQoTXkpOfLqWSrF--m0rEpVR48ZK5_QtqmhcrI=.jpg
메가MGC커피 배곧한라비발디점,티,(ICE)페퍼민트,3500,입 안 가득 깔끔한 청량감으로 기분까지 상쾌한 허브차,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/4/MOdjfaLH_HCrAOi1FxDlLP50omDldL8x1tN2uOZaqmC56rpv_tj0CjfER33Cq4xi2f5tjAIg6u_m8nKwr1BFtynwKw47c37F1iRCcM9lWdc=.jpg
메가MGC커피 배곧한라비발디점,티,(HOT)얼그레이,3500,홍차의 진한 향과 본연의 부드러움을 느낄 수 있는 허브차,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/14/0DdJKuR5TgZzQTZjRM8y46cIYBpZnEmcWFSQcjWTOg3QM1MOY0nctLnpJg8VpQGnMw13wg1EM_EkO3byAszHAM_KT0ckUDXdrzz5jap2Hkc=.jpg
메가MGC커피 배곧한라비발디점,티,(ICE)얼그레이,3500,홍차의 진한 향과 본연의 부드러움을 느낄 수 있는 허브차,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/4/eVwf9hdU-A0TEEfRrlZ3THCgCum9Pa1pU4bMHEvdaR8x0TNIiR9rJC-tWf0QpgjavwaKTrxTKMYQZJdc9XXgvHq6rXxDbG3mXAunO4vqlbs=.jpg
메가MGC커피 배곧한라비발디점,디저트,크로크무슈,4800,부드러운 빵에 햄과 치즈를 넣어구운 고소한 프랑스식 샌드위치,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/11/12/0Nq1HmwRMPEDT73vUe277uWYHBYOLN-Bbtzv_JdY4v8YaoBM7Ma4vl5tzntMlbBMpK46UYw1RCt25Sf7HbLoRzfLl1q-LWWKGjUifvDiffM=.jpg
메가MGC커피 배곧한라비발디점,디저트,감자빵,4500,쌀가루가 들어가 쫀득한 빵에 구운 감자를 으깨 넣어 포슬포슬한 감자 본연의 풍미가 살아있는 진짜 감자빵,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/9/15/2ea5FVRintWNWdtiHcejVYws6XHL4Abich2vdbfdRD6--DRYIBtSeNBTeBOeJhbb_E4kGDP9ulsh_s376K7IZoC9rP3fymYUy6KzPGtT8mI=.jpg
메가MGC커피 배곧한라비발디점,디저트,메가쿠키(마카다미아),2500,고소한 마카다미아를 넣어 만든 메가MGC커피 시그니처 쿠키,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2020/12/12/eqD440tv2rasx7j4U4sMvSP_4aFt7OT3PE4BJ69e_z-OlasX4RRnsl2Avi7pPkxs.jpg
메가MGC커피 배곧한라비발디점,디저트,메가쿠키(초코칩),2500,진한 초콜릿칩을 넣어 만든 메가MGC커피 시그니처 쿠키,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2020/12/12/eqD440tv2rasx7j4U4sMvZ2nHKD0zf6WGJM-MczuXYmJ0_eZRc5fuVdhw2t9JnUX.jpg
메가MGC커피 배곧한라비발디점,디저트,엠지씨네 메가칩,2500,엠지씨 이름을 걸고 만들었다 메밀로 만든 짭짤 고소한 김맛 건강스낵,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/5/27/AJFLFwzkhaSJWreWCYaun53mseq8UPNx0AVbMJjzL1qwPCNR5I1G6olhGFjiMUxuBQD95Njf0xM8LsujhVX0tnngoEAYH9y_g1H4yJPNmZg=.jpg
메가MGC커피 배곧한라비발디점,디저트,치즈케익,4500,진한 치즈의 맛을 달콤하고 부드럽게 느낄 수 있는 케이크,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/7/24/9QiZf_XtVwUBsnSQea0fnURgxE84vupl2kKu-acgMfLY3LElU_Y9zTsnROhtLKMQSdthaSeEYP5h7XffmC0zQsyEn6CXsHFCceQCRLjtccw=.jpg
메가MGC커피 배곧한라비발디점,디저트,초코무스케익,4500,달콤한 초콜릿 본연의 맛을 더 진하게 느낄 수 있는 케이크,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2020/10/13/1d46iR65M88OWdjE8z7ZAm7nELABHuertWVurDucEooPWiU6b-AEAy-zsvNs-AYx.jpg
메가MGC커피 배곧한라비발디점,디저트,티라미수케익,4500,부드러운 치즈 맛과 코코아의 조화로운 향으로 호불호 없이 즐기는 케이크,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2020/10/13/1d46iR65M88OWdjE8z7ZAkLExG2S8GffHz5hw36TYp-kpsE3SwJnkv18aLBoFUgl.jpg
메가MGC커피 배곧한라비발디점,디저트,유니콘프라페마카롱,2700,메가MGC커피 인기메뉴인 유니콘 프라페를 디저트화하여 만든 마카롱,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2020/12/12/eqD440tv2rasx7j4U4sMvUvR2dPfSsotfuXaWhKr8BdJsJET4CjA-R8G2f5oSelh.jpg
메가MGC커피 배곧한라비발디점,디저트,메가초코마카롱,2700,메가MGC커피 시그니처 메가초코를 모티브로 만든 초코 마카롱,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2021/10/7/85LGtYCGcx8ssKplCSYo1pE1FJd14_3XL89d905AKTIZ0ehUcq9OnUZUIJ0wqhCF.jpg
메가MGC커피 배곧한라비발디점,디저트,딸기요거트마카롱,2700,딸기요거트 스무디를 연상하게 하는 상큼한 마카롱,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2021/10/7/85LGtYCGcx8ssKplCSYo1ikfE7tB2SgO_4IOVOCQjpXULGOgEX1OBaH2luY7iPrc.jpg
