업소명,카테고리,메뉴명,가격,설명,대표메뉴,이미지URL
컴포즈커피 배곧테크노밸리점,커피,콜드브루,3800,찬물로 추출하여 풍부한 향을 가진 더치 아메리카노,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/19/OwBxoYjQHXXobw4lNRP6IJB_OdxYsLKOo4Gbhm9jnKyjDHlOcvE3xZZOx9P1z1iQmo-NHYufLTYdZ2fMSp6TvRAuIW97q0ZcZWs_q4_7r8U=.jpg
컴포즈커피 배곧테크노밸리점,커피,콜드브루라떼,4300,찬물로 추출하여 풍부한 향을 가진 더치와 부드러운 우유의 조화,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/19/wvoIDOGXIdOGg8LoICwxLejFjvW0gvuLlDoyiC8_OjGgcIytdCQaNmh6GIGZOQccdmy8vCWEHZkAjeabmRLSd6OYBMbqDOeLhMfYGzvw70A=.jpg
컴포즈커피 배곧테크노밸리점,커피,매샷추,3900,"매실차에 샷 추가
SNS 화제의 컴포즈커피 샷 추가하면 
맛있는 음료 시리즈 1탄",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/3/20/5mHLkPNCJzKFYxiVJXXPyXEh6DuxjV5dbXG4cSAVlZDa9XFZYg-PaiLFkSdrBqAiLjqhAqwVLg_jtY6hPMoSVaQDJ1zaXd2C_Uyz_urgfBk=.jpg
컴포즈커피 배곧테크노밸리점,커피,에어리 아메리카노,2800,"공기 주입을 통해 아메리카노에 부드러운
목넘김과 풍부한 커피 풍미를 더한 에어리 아메리카노",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/3/20/Oczi3noH7tHvhhic4jeOyry5Fw1tJl1TWFyb0H0u5fsWs_PMsumP1kZYu9VUWxziYxxLIzqVLfm042v-WwT37v-cfmP7JD5GIcP5EfpzlPs=.jpg
컴포즈커피 배곧테크노밸리점,커피,쫀득카노,6800,아이스아메리카노 + 쫀득쿠키,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/2/13/QEORdY2emeGuUPudNb_EDMBChuP9hJzHnwI1xSAX5x7NThtH5YV7ZICje-PoK6C3kkJa1UkBJ9Sq1DcoHnj63sMiUVi7yhcmS8Qo8Q6t6dA=.jpg
컴포즈커피 배곧테크노밸리점,커피,커피엔 역시 커피빵,4800,아이스아메리카노 + 커피콩빵,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/2/13/fYerIzNYIHXtWZylVVUBcsm_NbHDTeqdTQSinKpAR-pixaJsLn_q1wTLn6_H44tsqjdN14XPxYeLX7xE0cVupjF_IQ4UZudVg6-_rO1J9OY=.jpg
컴포즈커피 배곧테크노밸리점,디카페인,빅포즈 디카페인 아메리카노,4500,콜롬비아 디카페인 원두를 이용한 에스프레소에 물과 얼음을 더한 음료를 크게 즐기기,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/19/TvEGwtoddRxo-wrgAXizSrRZ30BssFpSxgoENbR0x11j9vr6qaNZeJXcaxaiHmdWuvh3Atm8hg4sSLckPdu3xk-95VQK9C17BZT-Vcr4rvc=.jpg
컴포즈커피 배곧테크노밸리점,디카페인,디카페인 아메리카노,3000,콜롬비아 디카페인 원두를 이용한 에스프레소에 물과 얼음을 더한 음료,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/19/Qenme5g7VbgHpwjvxv0IsDsLZlqoCMI-XOjOwgqPeHwaHSLp7hT-gvRDMHiMtZgTUzlNX7XtsTkG0bZmqvlKu_9mZ7TH0nALkZxW9A0wMmY=.jpg
컴포즈커피 배곧테크노밸리점,디카페인,디카페인 카페라떼,4400,콜롬비아 디카페인 원두의 부드러운 향미에 우유를 더하여 부드럽게 마실 수 있는 음료,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/10/25/H27dU8eTDoqGnreFjkEZqCssQQD40ercxrU_jPRS_B-L_zo33K8rYhmx4QgBvO0-iZ8djlGcOtetIB4TKtAv6KzMepiNzb-LQxhJUk5Rwcs=.jpg
컴포즈커피 배곧테크노밸리점,디카페인,디카페인 바닐라라떼,4800,콜롬비아 디카페인 원두의 부드러운 향미에 달콤한 바닐라 시럽이 더해진 라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/3/4/PwWADtKh4mlOUGYGFhYrnxxkTyeSQrOziYaSZCrPoYmI8QMWGN5JgE6OM3sfUbYlh2dv8OHbc3l_RpFBFT5ftYbwPlLGjwMYw5wRdpIQnxM=.jpg
컴포즈커피 배곧테크노밸리점,디카페인,디카페인 헤이즐넛라떼,4800,콜롬비아 디카페인 원두의 부드러운 향미에 은은한 헤이즐넛 시럽이 더해진 라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/3/4/Ctioqprq9FQd0ASEN6NQffLz_duyk6VoJOFAWJw_globRQww4MB9LlWfJwKxA0WKGL0olnPTX-xC-agPppGzF9h876SCaz25k2a2vzLp9Nk=.jpg
컴포즈커피 배곧테크노밸리점,디카페인,디카페인 돌체라떼,5300,콜롬비아 디카페인 원두의 부드러운 향미와 달콤한 연유가 조화로운 라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/3/4/6GcDJJgWDNejNCLp_h0ZOg-RadDvPypDu2KDvnpOjbYROW_LO-WFHUGmcTpcLmUiudAgt1gOgOLVZsYilW1uZ4j9PrT0b8_mKmvTMLKaark=.jpg
컴포즈커피 배곧테크노밸리점,디카페인,디카페인 콜드브루,4000,부드럽고 밸런스가 좋은 디카페인 더치커피,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/19/C9XyzzbXHDSy-4Pn_uQ95bcb8nfaecw9VdTpvhtd7f2VYynHB_u4FfcMjEy5netky2cUoZ8mDaywCBNo6Em4GNoxc7RelGISxAfMBTCKuNg=.jpg
